# 其他土話
id,富川(七都話)_聲母,富川(七都話)_韻母,富川(七都話)_調值,富川(七都話)_調類,富川(八都話)_聲母,富川(八都話)_韻母,富川(八都話)_調值,富川(八都話)_調類,鍾山(公安)_聲母,鍾山(公安)_韻母,鍾山(公安)_調值,鍾山(公安)_調類,賀州(九都話)_聲母,賀州(九都話)_韻母,賀州(九都話)_調值,賀州(九都話)_調類,湖南(道縣)_聲母,湖南(道縣)_韻母,湖南(道縣)_調值,湖南(道縣)_調類,江永城關(白水村)_聲母,江永城關(白水村)_韻母,江永城關(白水村)_調值,江永城關(白水村)_調類,豐陽_聲母,豐陽_韻母,豐陽_調值,豐陽_調類,星子_聲母,星子_韻母,星子_調值,星子_調類,西岸_聲母,西岸_韻母,西岸_調值,西岸_調類,保安_聲母,保安_韻母,保安_調值,保安_調類,連州_聲母,連州_韻母,連州_調值,連州_調類
15142,k,y,44,陰去,kʰ,uã,22,陽上,kʰ,uai,52,陰去,kʰ,ui,52,陰去,k,ua,31,陽平,,,,,,,,,,,,,,,,,,,,,,,,
15145,ʃ,y,44,陰去,s,uã,22,陽上,ʃ,ui,52,陰去,s,uai,52,陰去,s,ua,33,陰去,,,,,ʃ,oi,53,陰去,ʃ,ɔ,53,陰去,ʃ,o,52,陰去,ʃ,ɵ,53,陰去,s,ɔi,11,陰去
15158,s,ɿ,35,陽去,s,ɿ,24,陰上,ʃ,i,35,陰平,s,ɿ,33,陽去,s,ɿ,52,陽去,,,,,,,,,,,,,,,,,,,,,,,,
15161,s,ɿ,35,陽去,s,ɿ,24,陰上,ʃ,i,21,陽去,s,ɿ,33,陽去,s,ɿ,52,陽去,s,ə,21,陰去,s,ɿ,21,陽去,ʃ,i,21,陽去,ʃ,i,22,陽去,ʃ,i,11,陽去,s,i,33,陽去
15162,s,ɿ,35,陽去,s,ɿ,24,陰上,ʃ,i,21,陽去,s,ɿ,33,陽去,s,ɿ,52,陽去,,,,,s,ɿ,21,陽去,ʃ,i,21,陽去,ʃ,i,22,陽去,ʃ,i,11,陽去,s,i,33,陽去
15163,s,ɿ,35,陽去,s,ɿ,24,陰上,ʃ,i,21,陽去,s,ɿ,33,陽去,s,ɿ,52,陽去,,,,,s,ɿ,21,陽去,ʃ,i,21,陽去,ʃ,i,22,陽去,ʃ,i,11,陽去,s,i,33,陽去
15164,l,a,35,陽去,l,i,55,陽去,l,i,21,陽去,l,ɛi,33,陽去,l,a,31,陽平,l,a,33,陽去,l,ɛi,21,陽去,l,i,21,陽去,l,əi,22,陽去,l,ei,25,陽去,l,Ai,33,陽去
15165,l,a,35,陽去,l,i,55,陽去,l,i,21,陽去,l,ɛi,33,陽去,l,a,31,陽平,,,,,l,ɛi,21,陽去,l,i,21,陽去,l,əi,22,陽去,l,ei,11,陽去,l,Ai,33,陽去
15169,l,a,35,陽去,l,i,55,陽去,l,i,21,陽去,l,ɛi,33,陽去,l,a,31,陽平,,,,,,,,,,,,,,,,,,,,,,,,
15172,n,i,35,陽去,n,əu,55,陽去,n,ɔɛ,21,陽去,ŋ,i,52,陰去,n,a,52,陽去,,,,,,,,,,,,,,,,,,,,,,,,
15173,n,i,35,陽去,n,əu,55,陽去,n,ɔɛ,21,陽去,ŋ,i,52,陰去,n,a,52,陽去,,,,,,,,,,,,,,,,,,,,,,,,
15176,pʰ,ɐi,44,陰去,pʰ,a,22,陽上,pʰ,i,52,陰去,pʰ,ɛi,52,陰去,pʰ,a,33,陰去,,,,,pʰ,ɛi,53,陰去,pʰ,i,53,陰去,pʰ,əi,52,陰去,pʰ,ei,53,陰去,pʰ,Ai,11,陰去
